attribute_key,label,label_zh,theme,attribute_group,definition,source_type,mention_count,salience_column,quality_column,example_review_id,example_quote,theory_families,theory_subtheories,applicable_products
price_value_ratio,Price-to-Value Ratio,性價比,Price & Value,benefit_use,Perceived value relative to price paid. High=great value; Low=overpriced for quality delivered.,review,38,price_value_ratio_salience,price_value_ratio_quality,B0GL2DKVQH,"Solid Quality for the Cost – This trimmer is an excellent choice for anyone who needs a portable, low-profile grooming tool","product_positioning,maslow,purchase_motivation,wom_motivation","benefits,physiological,functional,altruistic","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
budget_tier_positioning,Budget Tier Positioning,價格帶定位,Price & Value,brand_image,"Whether the product is positioned as budget, mid-range, or premium. High=mid/premium perceived; Low=budget only.",review,12,budget_tier_positioning_salience,budget_tier_positioning_quality,B0GL2DKVQH,"Utter Junk – Very poor quality, very light weight and weak item. Its rechargeable but feels incredibly cheap","product_positioning,maslow","benefits,esteem","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
competitor_brand_comparison,Favorable vs Competitor Brands,優於競品品牌,Price & Value,brand_image,"Whether reviewers compare to competitor brands (Philips, Panasonic, Norelco) favorably. High=preferred over competitors; Low=loses to competitors.",review,16,competitor_brand_comparison_salience,competitor_brand_comparison_quality,B0823PD6XD,I got this for my husband and he says he prefers this over any other top brand he has tried!,"product_positioning,maslow,purchase_motivation,wom_motivation","benefits,esteem,functional,self_enhancement","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
primary_user_gender,Primary Target Gender,主要目標性別,Target User,brand_image,"Whether the product is explicitly designed for men, women, or unisex use. High=clear gender targeting; Low=unisex/ambiguous.",both,18,primary_user_gender_salience,primary_user_gender_quality,B091C37P34,Electric Eyebrow Trimmer for Women – specifically designed for women,"product_positioning,maslow","benefits,belongingness","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
unisex_suitability,Unisex / Gender-Neutral Suitability,男女通用適用性,Target User,brand_image,Whether the product works well for both men and women. High=truly unisex; Low=gender-specific design/function.,review,12,unisex_suitability_salience,unisex_suitability_quality,B083NFMGZH,"Eyebrow Trimmer for Men and Women, Precision Detailer for Shaping","product_positioning,purchase_motivation","benefits,functional","B083NFMGZH,B0823PD6XD,B0BVVKKXFZ"
beginner_friendliness,Beginner Friendliness,初學者友善度,Target User,benefit_use,Suitability for users who have never used a trimmer before. High=easy for first-timers; Low=requires skill.,review,14,beginner_friendliness_salience,beginner_friendliness_quality,B0GL2DKVQH,Game changer – This is my 1st time using a mustache trimmer. I usually used manual. This is great.,"product_positioning,maslow,purchase_motivation","benefits,self_actualization,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
couple_shared_use,Couple / Shared Use Suitability,情侶/共用適用性,Target User,benefit_use,Whether the product is used and suitable for sharing between partners. High=reported shared use; Low=personal-only design.,review,10,couple_shared_use_salience,couple_shared_use_quality,B0BVVKKXFZ,My partner and I use this interchangeably. I mostly use only two attachments and they work great.,"product_positioning,maslow,purchase_motivation","benefits,belongingness,relational","B0BVVKKXFZ,B0823PD6XD,B083NFMGZH"
professional_home_positioning,Professional vs Home Use Positioning,專業/家用定位,Target User,brand_image,Whether the product targets professional barbers or home users. High=professional-grade; Low=home/personal use only.,both,10,professional_home_positioning_salience,professional_home_positioning_quality,B0BRVTRPXM,Professional facial hair trimmer,"product_positioning,maslow","attributes,esteem","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
blade_small_head_size,Small / Precision Blade Head Size,小型刀頭尺寸,Blade Specs,attribute_function,"Whether the blade head is specifically small for precision detailing. High=very small, fine head; Low=standard wide head.",both,14,blade_small_head_size_salience,blade_small_head_size_quality,B09138YH5R,"The trimmer has a small blade of only 1 cm, which can gently remove pet hair from difficult-to-reach areas","product_positioning,purchase_motivation","attributes,functional","B091C37P34,B083NFMGZH,B09138YH5R,B06Y65N73X"
rotary_blade_type,Rotary Cutting Mechanism,旋轉式刀頭設計,Blade Specs,attribute_function,Whether the trimmer uses a rotary (360-degree) cutting mechanism. High=rotary for nose/ear; Low=linear/reciprocating only.,both,8,rotary_blade_type_salience,rotary_blade_type_quality,B06Y65N73X,rotary ear and nose hair trimmer,"product_positioning,purchase_motivation","attributes,functional","B06Y65N73X,B0823PD6XD,B0BVVKKXFZ"
integrated_length_dial,Integrated Length Dial (No-Comb),刀片本身可調式（無需梳子）,Blade Specs,attribute_function,Whether the blade length is adjustable via built-in dial without needing separate comb attachments. High=integrated dial adjustment; Low=separate comb-only adjustment.,both,10,integrated_length_dial_salience,integrated_length_dial_quality,B0GL2DKVQH,adjustable blade (0.5mm to 14mm) delivers incredibly precise cuts,"product_positioning,purchase_motivation","attributes,functional","B0GL2DKVQH,B0842PLHY1"
product_listing_accuracy,Product Listing Accuracy,商品頁面描述準確度,Brand & Trust,usage_context_service_experience,Whether the actual product matches its Amazon listing description and photos. High=accurate listing; Low=misleading listing.,review,12,product_listing_accuracy_salience,product_listing_accuracy_quality,B0BVVKKXFZ,Came well packed looks pretty professional everything is exactly as advertised by the seller,"product_positioning,wom_motivation","usage_context_service_experience,altruistic","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
brand_trust_loyalty,Brand Trust / Repeat Loyalty,品牌信任度與回購,Brand & Trust,brand_image,"Level of brand trust with existing customers. High=repeat buyers, brand loyalty; Low=first-time skeptics.",review,18,brand_trust_loyalty_salience,brand_trust_loyalty_quality,B0GL2DKVQH,"I already had a nose hair trimmer by this brand, Urbaner, which works really well.","product_positioning,maslow,purchase_motivation,wom_motivation","benefits,belongingness,relational,social_identity","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
repeat_purchase_intent,Repeat Purchase Intent,回購意願,Brand & Trust,usage_context_service_experience,Whether reviewers mention buying again or having bought previous Urbaner products. High=strong repeat intent; Low=one-time purchase.,review,8,repeat_purchase_intent_salience,repeat_purchase_intent_quality,B0823PD6XD,I already had a nose hair trimmer by this brand and this one also works really well,"product_positioning,purchase_motivation,wom_motivation","usage_context_service_experience,relational,social_identity","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
cut_smoothness,Cut Smoothness / Glide Feel,裁剪滑順感,Sensory Experience,benefit_use,"How smooth the trimmer glides over skin during use. High=smooth glide; Low=rough, scratchy, or snagging motion.",review,20,cut_smoothness_salience,cut_smoothness_quality,B0BVVKKXFZ,"It cuts like a dream, bladerunner good","product_positioning,maslow,purchase_motivation","benefits,physiological,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
operation_vibration_feel,Vibration Feel During Use,使用中的震動感,Sensory Experience,attribute_function,Perceptible vibration felt through the hand during use. High=minimal vibration; Low=strong vibration complaints.,review,8,operation_vibration_feel_salience,operation_vibration_feel_quality,B09138YH5R,ultra-quiet and low-vibrant design,"product_positioning,maslow","attributes,physiological","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
thick_hair_handling,Thick / Coarse Hair Handling,粗硬毛髮處理能力,Sensory Experience,attribute_function,Whether the trimmer handles thick or coarse hair without jamming. High=handles thick hair well; Low=jams or struggles.,review,16,thick_hair_handling_salience,thick_hair_handling_quality,B0GL2GP74J,"Convenient and easy to use, but a bit weak on thicker beard – I do have particularly thick beard hair and there were times when this trimmer struggled","product_positioning,purchase_motivation,wom_motivation","functions,functional,altruistic","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
trimming_evenness,Trimming Evenness / Uniformity,修剪均勻度,Sensory Experience,attribute_function,Whether trimming results are even and uniform across the treated area. High=consistently even cuts; Low=uneven results.,review,14,trimming_evenness_salience,trimming_evenness_quality,B0GL2DKVQH,"Looks great, performs decently, but feels budget in hand","product_positioning,purchase_motivation","functions,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
grey_hair_handling,Grey / Coarse Grey Hair Handling,白/灰髮處理能力,Hair Capability,attribute_function,Effectiveness on grey or coarse grey hair specifically. High=handles grey hair well; Low=struggles with grey hair.,review,6,grey_hair_handling_salience,grey_hair_handling_quality,B0BVVKKXFZ,it is small but powerful – the shaver removes even thicker grey facial hair,"product_positioning,purchase_motivation","functions,functional","B0BVVKKXFZ,B0GL2DKVQH"
close_shave_capability,Close-Shave / Near-Skin Capability,貼膚剃光能力,Hair Capability,attribute_function,Whether the trimmer can trim hair down to near skin level. High=skin-close possible; Low=leaves visible stubble.,review,12,close_shave_capability_salience,close_shave_capability_quality,B0GL2DKVQH,It's not smooth-skin close but for mustache trimming it's exactly right,"product_positioning,purchase_motivation","functions,functional","B0842PLHY1,B0GL2DKVQH,B0BRVTRPXM,B0BVVKKXFZ"
fine_hair_precision,Fine / Thin Hair Precision,細軟毛髮精準度,Hair Capability,attribute_function,"Effectiveness on fine, thin, or soft hair. High=works well on fine hair; Low=misses fine hair.",review,10,fine_hair_precision_salience,fine_hair_precision_quality,B0GL2DKVQH,Price is good and feels decent – My facial hair is very thin and this doesn't catch all of them,"product_positioning,purchase_motivation","functions,functional","B091C37P34,B083NFMGZH,B0GL2DKVQH"
social_gifting_context,Purchased as Gift Context,作為禮品購買場景,Social Context,usage_context_service_experience,"Whether the product is bought as a gift (for husband, father, boyfriend). High=strong gifting purchase pattern; Low=self-purchase only.",review,20,social_gifting_context_salience,social_gifting_context_quality,B0823PD6XD,Got as a gift for my husband and he absolutely loves it. Definitely worth it,"maslow,purchase_motivation,wom_motivation","belongingness,relational,altruistic","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
shareable_between_partners,Shareable Between Partners,夫妻/伴侶共享設計,Social Context,benefit_use,Whether the product design facilitates use by both partners. High=explicitly suitable for sharing; Low=single-user design.,review,8,shareable_between_partners_salience,shareable_between_partners_quality,B0BVVKKXFZ,My partner and I use this interchangeably.,"product_positioning,maslow,purchase_motivation","benefits,belongingness,relational","B0BVVKKXFZ,B083NFMGZH"
battery_independence,Battery Independence (Rechargeable),可充電免拋棄式電池,Eco & Sustainability,benefit_use,"Whether the product reduces need for disposable batteries (rechargeable = eco-positive). High=rechargeable, no disposables; Low=requires disposable batteries.",review,14,battery_independence_salience,battery_independence_quality,B0BVVKKXFZ,rechargeable grooming kit – nice that its rechargeable so you can use whenever you need it,"product_positioning,maslow,purchase_motivation","benefits,self_actualization,functional","B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B09138YH5R"
narrow_cutter_head,Narrow Cutter Head for Line Definition,窄刀頭線條定義,Blade Specs,attribute_function,Whether the product has a specifically narrow cutter head for creating clean beard/mustache lines. High=narrow head; Low=wide standard head.,both,10,narrow_cutter_head_salience,narrow_cutter_head_quality,B0842PLHY1,The narrow cutter head helps create clean lines for mustache or sideburns,"product_positioning,purchase_motivation","attributes,functional","B0842PLHY1,B0GL2DKVQH,B083NFMGZH"
attachment_nose_head_size_fit,Nose Trimmer Head Fit in Nostril,鼻毛刀頭鼻孔適配尺寸,Blade Specs,attribute_function,Whether the nose trimmer head is appropriately sized to fit comfortably in nostril. High=correctly sized; Low=too large or too small.,review,10,attachment_nose_head_size_fit_salience,attachment_nose_head_size_fit_quality,B0BVVKKXFZ,Bad size nose trimmer – The nose trimmer is useless as it is too large for the nose hair.,"product_positioning,maslow,purchase_motivation,wom_motivation","attributes,physiological,functional,altruistic","B06Y65N73X,B0823PD6XD,B0BVVKKXFZ,B0GL2GP74J"
product_dimensions_size,Product Physical Dimensions,產品實體尺寸規格,Design,attribute_function,Exact physical dimensions (length x width x depth in cm). Smaller dimensions = more portable.,both,8,product_dimensions_size_salience,product_dimensions_size_quality,B0842PLHY1,14 x 2 x 2 cm – compact slim profile for travel,"product_positioning,purchase_motivation","attributes,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
battery_cover_ease,Battery Cover / Compartment Ease,電池蓋易用性,Design,attribute_function,Ease of accessing and replacing the battery compartment cover. High=easy open/close; Low=fiddly or hard to open.,review,6,battery_cover_ease_salience,battery_cover_ease_quality,B0BRVTRPXM,battery cover design for 2 AA batteries,product_positioning,attributes,"B06Y65N73X,B0823PD6XD,B0842PLHY1,B0BRVTRPXM,B0GL2GP74J,B091C37P34"
multi_use_versatility_score,Overall Multi-Use Versatility Score,全功能多用途評分,Functions,benefit_use,Composite sense of how many different grooming tasks the product can handle well. High=true all-in-one; Low=single-task only.,review,30,multi_use_versatility_score_salience,multi_use_versatility_score_quality,B0823PD6XD,"Perfect trimmer for all the little places – This trimmer kit includes everything you need to trim hair from all those odd places such as nose, ears, eyebrows, facial hair","product_positioning,maslow,purchase_motivation","benefits,self_actualization,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
maintenance_requirement,Maintenance / Oiling Requirement,維護保養需求,Ease of Use,attribute_function,Whether the product requires regular oiling or maintenance to keep performance. High=low-maintenance; Low=requires frequent oiling.,review,8,maintenance_requirement_salience,maintenance_requirement_quality,B0BRVTRPXM,maintenance oil included in package,"product_positioning,purchase_motivation","usage_context_service_experience,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
waterproof_body_full,Full Body Waterproof (Not Just Head),全機身防水,Waterproof,attribute_function,Whether the entire device body (not just the head) is waterproof. High=fully submersible body; Low=only head is water-resistant.,both,12,waterproof_body_full_salience,waterproof_body_full_quality,B0GL2DKVQH,IPX8 Waterproof – can be fully submerged,"product_positioning,maslow,purchase_motivation","attributes,safety,security","B0842PLHY1,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
grooming_kit_completeness,Grooming Kit Completeness,修容套組完整度,Accessories,benefit_use,How complete the grooming kit is for all common facial hair needs in one package. High=all-in-one complete kit; Low=partial kit.,review,22,grooming_kit_completeness_salience,grooming_kit_completeness_quality,B0823PD6XD,A nice selection of cutting heads – I have used a variety of different powered trimmers over the years but this one has the widest selection of trimming attachments.,"product_positioning,maslow,purchase_motivation","benefits,self_actualization,functional","B0823PD6XD,B0BVVKKXFZ,B0D5B8ZT1K,B0BRVTRPXM"
lightweight_design,Lightweight Design,輕量化設計,Design,benefit_use,Whether the product is specifically lightweight for ease of one-hand use and travel. High=very light; Low=heavier/bulkier.,both,18,lightweight_design_salience,lightweight_design_quality,B06Y65N73X,"Small and Safe Grooming Tool, Lightweight","product_positioning,maslow,purchase_motivation","benefits,physiological,functional","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
eyebrow_comb_attachment,Dedicated Eyebrow Comb Attachment,獨立眉毛導梳,Accessories,attribute_function,Whether a dedicated eyebrow guide comb is included. High=separate eyebrow comb included; Low=no dedicated eyebrow comb.,both,8,eyebrow_comb_attachment_salience,eyebrow_comb_attachment_quality,B0823PD6XD,includes eyebrow comb attachment,"product_positioning,purchase_motivation","attributes,functional","B0823PD6XD,B0BVVKKXFZ,B0D5B8ZT1K,B083NFMGZH,B091C37P34"
quick_touch_up_design,Quick Touch-Up / Daily Use Design,快速補修設計,Ease of Use,benefit_use,"Whether the product is optimized for quick daily touch-ups rather than full grooming sessions. High=fast, daily-use friendly; Low=setup-intensive.",review,16,quick_touch_up_design_salience,quick_touch_up_design_quality,B0GL2DKVQH,I needed something small and accurate for quick touch-ups between full shaves,"product_positioning,maslow,purchase_motivation","benefits,physiological,functional","B0GL2DKVQH,B0842PLHY1,B06Y65N73X,B083NFMGZH,B091C37P34"
product_perceived_premium,Perceived Premium Feel,質感高級感,Brand & Trust,brand_image,Whether the product feels premium/high-end beyond its price point. High=feels premium; Low=feels cheap for price.,review,14,product_perceived_premium_salience,product_perceived_premium_quality,B0BVVKKXFZ,I was not expecting it to be this good – I bought a ton of these kind of things over my lifetime and most of them are cheap garbage. But I was really not expecting a whole lot from these.,"product_positioning,maslow,purchase_motivation,wom_motivation","benefits,esteem,security,self_enhancement","B06Y65N73X,B0823PD6XD,B083NFMGZH,B0842PLHY1,B09138YH5R,B091C37P34,B0BRVTRPXM,B0BVVKKXFZ,B0D5B8ZT1K,B0GL2DKVQH,B0GL2GP74J"
grooming_angle_control,Grooming Angle / Attack Angle Control,修容角度控制,Ease of Use,benefit_use,Ease of controlling the trimming angle for precise detailing work. High=good angle control; Low=awkward angle.,review,10,grooming_angle_control_salience,grooming_angle_control_quality,B0GL2DKVQH,Grip is good and the attack angle allows accurate detailing,"product_positioning,purchase_motivation","functions,functional","B0GL2DKVQH,B083NFMGZH,B091C37P34,B0842PLHY1"
